"","Age","lam_hat","Est_Var","CI_lower","CI_upper","cat"
"10",10,0.0384239661348095,0.197454717077348,0.0321931092757317,0.045860782221553,"deep_subprime"
"11",11,0.0289904502046385,0.157570895523118,0.0235113363713577,0.0357464241841856,"deep_subprime"
"12",12,0.0305397727272727,0.172553850599557,0.0248022356185517,0.0376045826101194,"deep_subprime"
"13",13,0.0225258493353028,0.133444077753542,0.0175764219001767,0.0288690093557473,"deep_subprime"
"14",14,0.0240549828178694,0.147114815672874,0.0188478333128131,0.0307007277051108,"deep_subprime"
"15",15,0.022248708780294,0.141844173915961,0.0171723881210712,0.0288256379311006,"deep_subprime"
"16",16,0.0320299500831947,0.211663136204126,0.0257110014950088,0.0399018957908388,"deep_subprime"
"17",17,0.0388007054673721,0.269880510749302,0.0316139676540828,0.0476211895083449,"deep_subprime"
"18",18,0.0342562177381511,0.254788246370729,0.0273423018201738,0.0429184222104443,"deep_subprime"
"19",19,0.0267062314540059,0.210977872430551,0.0205274952523721,0.0347447552517406,"deep_subprime"
"20",20,0.034625322997416,0.283511235657779,0.0273664983894004,0.0438095139398524,"deep_subprime"
"21",21,0.028695181375203,0.247661860015413,0.022007828976936,0.0374145689253914,"deep_subprime"
"22",22,0.0304912478825522,0.273949101081954,0.0234488187968508,0.0396487433115441,"deep_subprime"
"23",23,0.0335097001763668,0.312482166018541,0.0259615880766354,0.0432523620124985,"deep_subprime"
"24",24,0.02652683528686,0.261449561758512,0.0197520273706425,0.0356253551664307,"deep_subprime"
"25",25,0.0231511254019293,0.238688009543544,0.0167632024206898,0.0319732825461998,"deep_subprime"
"26",26,0.0253333333333333,0.270158539851852,0.0185084259772026,0.0346748977232464,"deep_subprime"
"27",27,0.0263340263340263,0.291623444877451,0.0192426293160771,0.0360387830358398,"deep_subprime"
"28",28,0.0259552992069214,0.299150666560786,0.0188023580761645,0.0358294185331374,"deep_subprime"
"29",29,0.0181680545041635,0.221617613195027,0.0122220267059214,0.027006830569789,"deep_subprime"
"30",30,0.0227808326787117,0.287008444926461,0.0158970384487821,0.0326454728789574,"deep_subprime"
"31",31,0.0252237591537836,0.328340436738549,0.0178184500150872,0.0357066986920505,"deep_subprime"
"32",32,0.0211685012701101,0.287945077277665,0.0143635339915814,0.0311974369458999,"deep_subprime"
"33",33,0.0254609306409131,0.357529031737958,0.0177760523135812,0.0364681076352428,"deep_subprime"
"34",34,0.0238095238095238,0.349320558504232,0.0162860453090516,0.0348085378174165,"deep_subprime"
"35",35,0.0152380952380952,0.234549295324479,0.00937039412716045,0.0247801259300526,"deep_subprime"
"36",36,0.0236686390532544,0.374019357302102,0.0159400997490536,0.0351443518831494,"deep_subprime"
"37",37,0.0235655737704918,0.386930346214276,0.0157359872911122,0.0352908436476782,"deep_subprime"
"38",38,0.0317124735729387,0.53272714591272,0.0223000952943713,0.0450976090836784,"deep_subprime"
"39",39,0.0513966480446927,0.894042005886662,0.0387882092332366,0.0681035676162767,"deep_subprime"
"40",40,0.0431137724550898,0.810870240729771,0.0313213882980276,0.0593459446184995,"deep_subprime"
